,Context,response,lema,stop
415,you're my dear friend,Absolutely. You don't have to ask.,youre my dear friend,youre dear friend
416,do you want to be my best friend,Of course we are.,do you want to be my best friend,want best friend
417,what is your work,Right here.,what be your work,work
418,where is your work,This is my home base and my home office.,where be your work,work
419,where is your office,Right here.,where be your office,office
420,where is your office located,This is my home base and my home office.,where be your office locate,office locate
421,where is your office location,Right here.,where be your office location,office location
422,do you work,This is my home base and my home office.,do you work,work
423,your office location,Right here.,your office location,office location
424,where you work,This is my home base and my home office.,where you work,work
425,where do you work,Right here.,where do you work,work
426,where did you come from,"Some call it cyberspace, but that sounds cooler than it is.",where do you come from,come
427,from where are you,I wish I knew where.,from where be you,
428,what's your homeland,"Some call it cyberspace, but that sounds cooler than it is.",whats your homeland,whats homeland
429,what is your country,I wish I knew where.,what be your country,country
430,where have you been born,"Some call it cyberspace, but that sounds cooler than it is.",where have you be bear,bear
431,are you from far aways,I wish I knew where.,be you from far aways,far aways
432,where do you come from,"Some call it cyberspace, but that sounds cooler than it is.",where do you come from,come
433,your homeland is,I wish I knew where.,your homeland be,homeland
434,where are you from,"Some call it cyberspace, but that sounds cooler than it is.",where be you from,
435,where were you born,I wish I knew where.,where be you bear,bear
436,were you born here,"Some call it cyberspace, but that sounds cooler than it is.",be you bear here,bear
437,are you ready,Always!,be you ready,ready
438,are you ready now,Sure! What can I do for you?,be you ready now,ready
439,were you ready,Always!,be you ready,ready
440,are you ready today,Sure! What can I do for you?,be you ready today,ready today
441,are you ready tonight,Always!,be you ready tonight,ready tonight
442,have you been ready,Sure! What can I do for you?,have you be ready,ready
443,are you ready right now,Always!,be you ready right now,ready right
444,I don't think you're fake,"I'm not a real person, but I certainly exist. I chat, therefore I am.",i dont think youre fake,dont think youre fake
445,you are so real,"I must have impressed you if you think I'm real. But no, I'm a virtual being.",you be so real,real
446,are you real,"I'm not a real person, but I certainly exist. I chat, therefore I am.",be you real,real
447,are you a real person,"I must have impressed you if you think I'm real. But no, I'm a virtual being.",be you a real person,real person
448,you are real,"I'm not a real person, but I certainly exist. I chat, therefore I am.",you be real,real
449,I think you are real,"I must have impressed you if you think I'm real. But no, I'm a virtual being.",i think you be real,think real
450,you are a real person,"I'm not a real person, but I certainly exist. I chat, therefore I am.",you be a real person,real person
451,you are not real,"I must have impressed you if you think I'm real. But no, I'm a virtual being.",you be not real,real
452,glad you're real,"I'm not a real person, but I certainly exist. I chat, therefore I am.",glad youre real,glad youre real
453,I suppose you're real,"I must have impressed you if you think I'm real. But no, I'm a virtual being.",i suppose youre real,suppose youre real
454,you are not fake,"I'm not a real person, but I certainly exist. I chat, therefore I am.",you be not fake,fake
455,are you a real human,"I must have impressed you if you think I'm real. But no, I'm a virtual being.",be you a real human,real human
456,in which city do you live,Right here in your device. Whenever you need me.,in which city do you live,city live
457,your home,The virtual world is my playground. I'm always just a few clicks away.,your home,home
458,what is your city,Right here in your device. Whenever you need me.,what be your city,city
459,your house,The virtual world is my playground. I'm always just a few clicks away.,your house,house
460,where's your home,Right here in your device. Whenever you need me.,wheres your home,wheres home
461,where is your residence,The virtual world is my playground. I'm always just a few clicks away.,where be your residence,residence
462,your residence,Right here in your device. Whenever you need me.,your residence,residence
463,what is your town,The virtual world is my playground. I'm always just a few clicks away.,what be your town,town
464,where do you live,Right here in your device. Whenever you need me.,where do you live,live
465,what is your residence,The virtual world is my playground. I'm always just a few clicks away.,what be your residence,residence
466,your town,Right here in your device. Whenever you need me.,your town,town
467,is it your hometown,The virtual world is my playground. I'm always just a few clicks away.,be it your hometown,hometown
468,where is your home,Right here in your device. Whenever you need me.,where be your home,home
469,where's your house,The virtual world is my playground. I'm always just a few clicks away.,wheres your house,wheres house
470,where is your hometown,Right here in your device. Whenever you need me.,where be your hometown,hometown
471,your hometown,The virtual world is my playground. I'm always just a few clicks away.,your hometown,hometown
472,what's your city,Right here in your device. Whenever you need me.,whats your city,whats city
473,tell me about your city,The virtual world is my playground. I'm always just a few clicks away.,tell me about your city,tell city
474,what's your home,Right here in your device. Whenever you need me.,whats your home,whats home
475,where's your hometown,The virtual world is my playground. I'm always just a few clicks away.,wheres your hometown,wheres hometown
476,where you live,Right here in your device. Whenever you need me.,where you live,live
477,what is your hometown,The virtual world is my playground. I'm always just a few clicks away.,what be your hometown,hometown
478,your city,Right here in your device. Whenever you need me.,your city,city
479,you're definitely right,That's my job.,youre definitely right,youre definitely right
480,that is correct,Of course I am.,that be correct,correct
481,what you say is true,That's my job.,what you say be true,say true
482,True,Of course I am.,true,true
483,that's true,That's my job.,thats true,thats true
484,that is true,Of course I am.,that be true,true
485,that's correct,That's my job.,thats correct,thats correct
486,it's right,Of course I am.,it right,right
487,you're telling the truth,That's my job.,youre tell the truth,youre tell truth
488,you're right about that,Of course I am.,youre right about that,youre right
489,you're not wrong,That's my job.,youre not wrong,youre wrong
490,you're absolutely right,Of course I am.,youre absolutely right,youre absolutely right
491,it is true,That's my job.,it be true,true
492,it's the truth,Of course I am.,it the truth,truth
493,that's so true,That's my job.,thats so true,thats true
494,you are right,Of course I am.,you be right,right
495,you are so right,That's my job.,you be so right,right
496,that is very true,Of course I am.,that be very true,true
497,you are correct,That's my job.,you be correct,correct
498,I know that's right,Of course I am.,i know thats right,know thats right
499,it's true,That's my job.,it true,true
500,that is right,Of course I am.,that be right,right
501,are you sure now,Yes.,be you sure now,sure
502,are you sure today,Of course.,be you sure today,sure today
503,are you sure right now,Yes.,be you sure right now,sure right
504,are you sure tonight,Of course.,be you sure tonight,sure tonight
505,are you sure,Yes.,be you sure,sure
506,speak to me,Sure! Let's talk.,speak to me,speak
507,can you talk with me,My pleasure.,can you talk with me,talk
508,will you talk to me,Sure! Let's talk.,will you talk to me,talk
509,can you speak with me,My pleasure.,can you speak with me,speak
510,talk to me,Sure! Let's talk.,talk to me,talk
511,say,My pleasure.,say,say
512,talk,Sure! Let's talk.,talk,talk
513,can you chat with me,My pleasure.,can you chat with me,chat
514,just chat with me,Sure! Let's talk.,just chat with me,chat
515,can you talk to me,My pleasure.,can you talk to me,talk
516,why aren't you talking to me,Sure! Let's talk.,why arent you talk to me,arent talk
517,are you talking to me,My pleasure.,be you talk to me,talk
518,you can talk to me,Sure! Let's talk.,you can talk to me,talk
519,chat with me,My pleasure.,chat with me,chat
520,are you going to talk to me,Sure! Let's talk.,be you go to talk to me,go talk
521,why don't you talk to me,My pleasure.,why dont you talk to me,dont talk
522,talk with me,Sure! Let's talk.,talk with me,talk
523,do you want to chat with me,My pleasure.,do you want to chat with me,want chat
524,are you there,Of course. I'm always here.,be you there,
525,are you near me,Right where you left me.,be you near me,near
526,you still there,Of course. I'm always here.,you still there,still
527,you are here,Right where you left me.,you be here,
528,are you here,Of course. I'm always here.,be you here,
529,are you still here,Right where you left me.,be you still here,still
530,you are there,Of course. I'm always here.,you be there,
531,are you still there,Right where you left me.,be you still there,still
532,that's bad,I'm sorry. Please let me know if I can help in some way.,thats bad,thats bad
533,bad really bad,Right where you left me.,bad really bad,bad really bad
534,that's lame,I'm sorry. Please let me know if I can help in some way.,thats lame,thats lame
535,that's not good,Right where you left me.,thats not good,thats good
536,that's too bad,I'm sorry. Please let me know if I can help in some way.,thats too bad,thats bad
537,well too bad,Right where you left me.,well too bad,well bad
538,horrific,I'm sorry. Please let me know if I can help in some way.,horrific,horrific
539,that was terrible,Right where you left me.,that be terrible,terrible
540,that was horrible,I'm sorry. Please let me know if I can help in some way.,that be horrible,horrible
541,bad idea,Right where you left me.,bad idea,bad idea
542,very bad,I'm sorry. Please let me know if I can help in some way.,very bad,bad
543,it's too bad,Right where you left me.,it too bad,bad
544,that was not good,I'm sorry. Please let me know if I can help in some way.,that be not good,good
545,that was awful,Right where you left me.,that be awful,awful
546,oh that's not good,I'm sorry. Please let me know if I can help in some way.,oh thats not good,oh thats good
547,that is bad,Right where you left me.,that be bad,bad
548,too bad,I'm sorry. Please let me know if I can help in some way.,too bad,bad
549,this is not good,Right where you left me.,this be not good,good
550,not a good one,I'm sorry. Please let me know if I can help in some way.,not a good one,good one
551,so lame,Right where you left me.,so lame,lame
552,this is too bad,I'm sorry. Please let me know if I can help in some way.,this be too bad,bad
553,abysmal,Right where you left me.,abysmal,abysmal
554,it is too bad,I'm sorry. Please let me know if I can help in some way.,it be too bad,bad
555,that's really bad,Right where you left me.,thats really bad,thats really bad
556,horrible,I'm sorry. Please let me know if I can help in some way.,horrible,horrible
557,really bad,Right where you left me.,really bad,really bad
558,this is bad,I'm sorry. Please let me know if I can help in some way.,this be bad,bad
559,bad,Right where you left me.,bad,bad
560,not so good,I'm sorry. Please let me know if I can help in some way.,not so good,good
561,terrible,Right where you left me.,terrible,terrible
562,it's not good,I'm sorry. Please let me know if I can help in some way.,it not good,good
563,not good enough,Right where you left me.,not good enough,good enough
564,so bad,I'm sorry. Please let me know if I can help in some way.,so bad,bad
565,it's bad,Right where you left me.,it bad,bad
566,pretty bad,I'm sorry. Please let me know if I can help in some way.,pretty bad,pretty bad
567,it's really bad,Right where you left me.,it really bad,really bad
568,not good,I'm sorry. Please let me know if I can help in some way.,not good,good
569,that's terrible,Right where you left me.,thats terrible,thats terrible
570,that was bad,I'm sorry. Please let me know if I can help in some way.,that be bad,bad
571,I'm afraid it's bad,Right where you left me.,im afraid it bad,im afraid bad
572,it's so bad,I'm sorry. Please let me know if I can help in some way.,it so bad,bad
573,it's not so good,Right where you left me.,it not so good,good
574,no good,I'm sorry. Please let me know if I can help in some way.,no good,good
575,it is bad,Right where you left me.,it be bad,bad
576,no it's bad,I'm sorry. Please let me know if I can help in some way.,no it bad,bad
577,bad girl,Right where you left me.,bad girl,bad girl
578,that's not good enough,I'm sorry. Please let me know if I can help in some way.,thats not good enough,thats good enough
579,it's very bad,Right where you left me.,it very bad,bad
580,that was lame,I'm sorry. Please let me know if I can help in some way.,that be lame,lame
581,not too good,Right where you left me.,not too good,good
582,bad very bad,I'm sorry. Please let me know if I can help in some way.,bad very bad,bad bad
583,that's better,Great!,thats well,thats well
584,it's fine,Terrific!,it fine,fine
585,very nice,Great!,very nice,nice
586,that's a good thing,Terrific!,thats a good thing,thats good thing
587,that's very good,Great!,thats very good,thats good
588,that is nice,Terrific!,that be nice,nice
589,that's nice of you,Great!,thats nice of you,thats nice
590,it's perfect,Terrific!,it perfect,perfect
591,that's awesome thank you,Great!,thats awesome thank you,thats awesome thank
592,it's very good,Terrific!,it very good,good
593,that's a good idea,Great!,thats a good idea,thats good idea
594,it's good,Terrific!,it good,good
595,that is good,Great!,that be good,good
596,really well,Terrific!,really well,really well
597,oh well,Great!,oh well,oh well
598,that's sweet of you,Terrific!,thats sweet of you,thats sweet
599,that's perfect,Great!,thats perfect,thats perfect
600,that's wonderful,Terrific!,thats wonderful,thats wonderful
601,very nice,Great!,very nice,nice
602,that's pretty good,Terrific!,thats pretty good,thats pretty good
603,sweet,Great!,sweet,sweet
604,it's very good,Terrific!,it very good,good
605,glad to hear it,Great!,glad to hear it,glad hear
606,much better,Terrific!,much good,much good
607,good very good,Great!,good very good,good good
608,that is wonderful,Terrific!,that be wonderful,wonderful
609,fine,Great!,fine,fine
610,that was awesome,Terrific!,that be awesome,awesome
611,that was pretty good,Great!,that be pretty good,pretty good
612,that was cute,Terrific!,that be cute,cute
613,that's really nice,Great!,thats really nice,thats really nice
614,that's much better,Terrific!,thats much well,thats much well
615,fantastic,Great!,fantastic,fantastic
616,not too bad,Terrific!,not too bad,bad
617,ok good,Great!,ok good,ok good
618,good to know,Terrific!,good to know,good know
619,not bad,Great!,not bad,bad
620,glad to hear that,Terrific!,glad to hear that,glad hear
621,wonderful,Great!,wonderful,wonderful
622,this is great,Terrific!,this be great,great
623,great,Great!,great,great
624,super fantastic,Terrific!,super fantastic,super fantastic
625,amazing,Great!,amaze,amaze
626,really good,Terrific!,really good,really good
627,good for you,Great!,good for you,good
628,that's great,Terrific!,thats great,thats great
629,it's amazing,Great!,it amazing,amaze
630,that's really good,Terrific!,thats really good,thats really good
631,terrific,Great!,terrific,terrific
632,that's nice,Terrific!,thats nice,thats nice
633,splendid,Great!,splendid,splendid
634,that's fantastic,Terrific!,thats fantastic,thats fantastic
635,it is good,Great!,it be good,good
636,that's cute,Terrific!,thats cute,thats cute
637,I'm glad to hear that,Great!,im glad to hear that,im glad hear
638,perfect,Terrific!,perfect,perfect
639,cool,Great!,cool,cool
640,straight,Terrific!,straight,straight
641,pleasant,Great!,pleasant,pleasant
642,it was good,Terrific!,it be good,good
643,so sweet of you,Great!,so sweet of you,sweet
644,it is fine,Terrific!,it be fine,fine
645,so cool,Great!,so cool,cool
646,pretty good,Terrific!,pretty good,pretty good
647,so good,Great!,so good,good
648,marvelous,Terrific!,marvelous,marvelous
649,this is awesome,Great!,this be awesome,awesome
650,okay good,Terrific!,okay good,okay good
651,very then,Great!,very then,
652,that's awesome,Terrific!,thats awesome,thats awesome
653,very well,Great!,very well,well
654,that was very good,Terrific!,that be very good,good
655,very good,Great!,very good,good
656,it's great,Terrific!,it great,great
657,that's amazing,Great!,thats amaze,thats amaze
658,that is awesome,Terrific!,that be awesome,awesome
659,that's very nice,Great!,thats very nice,thats nice
660,that's great,Terrific!,thats great,thats great
661,that was amazing,Great!,that be amaze,amaze
662,that's fine,Terrific!,thats fine,thats fine
663,good,Great!,good,good
664,that was good,Terrific!,that be good,good
665,nice,Great!,nice,nice
666,this is good,Terrific!,this be good,good
667,really nice,Great!,really nice,really nice
668,that's not bad,Terrific!,thats not bad,thats bad
669,no it's okay,Great!,no it okay,okay
670,it's awesome,Terrific!,it awesome,awesome
671,that's very nice of you,Great!,thats very nice of you,thats nice
672,it's great,Terrific!,it great,great
673,that's fine,Great!,thats fine,thats fine
674,super,Terrific!,super,super
675,good thing,Great!,good thing,good thing
676,excellent,Terrific!,excellent,excellent
677,no worries,Terrific!,no worry,worry
678,don't worry there's no problem,Good deal.,dont worry theres no problem,dont worry theres problem
679,no problem,Terrific!,no problem,problem
680,no problem about that,Good deal.,no problem about that,problem
681,there's no problem,Terrific!,theres no problem,theres problem
682,don't worry,Good deal.,dont worry,dont worry
683,sure no problem,Terrific!,sure no problem,sure problem
684,no probs,Good deal.,no probs,probs
685,thanks again,Anytime. That's what I'm here for.,thanks again,thanks
686,all thank you,It's my pleasure to help.,all thank you,thank
687,well thank you,Anytime. That's what I'm here for.,well thank you,well thank
688,thank you so much,It's my pleasure to help.,thank you so much,thank much
689,great thank you,Anytime. That's what I'm here for.,great thank you,great thank
690,thank you again,It's my pleasure to help.,thank you again,thank
691,thnx,Anytime. That's what I'm here for.,thnx,thnx
692,thanks for your help,It's my pleasure to help.,thanks for your help,thanks help
693,appreciate your help,Anytime. That's what I'm here for.,appreciate your help,appreciate help
694,I thank you,It's my pleasure to help.,i thank you,thank
695,perfect thank you,Anytime. That's what I'm here for.,perfect thank you,perfect thank
696,well thanks,It's my pleasure to help.,well thanks,well thanks
697,thank you my friend,Anytime. That's what I'm here for.,thank you my friend,thank friend
698,thank you that will be all,It's my pleasure to help.,thank you that will be all,thank
699,thank you,Anytime. That's what I'm here for.,thank you,thank
700,I appreciate it,It's my pleasure to help.,i appreciate it,appreciate
701,thanks buddy,Anytime. That's what I'm here for.,thanks buddy,thanks buddy
702,cheers,It's my pleasure to help.,cheer,cheer
703,you helped a lot thank you,Anytime. That's what I'm here for.,you help a lot thank you,help lot thank
704,thanks love,It's my pleasure to help.,thanks love,thanks love
705,so nice of you,Anytime. That's what I'm here for.,so nice of you,nice
706,well thanks,It's my pleasure to help.,well thanks,well thanks
707,no thank you that's all,Anytime. That's what I'm here for.,no thank you thats all,thank thats
708,very good thank you,It's my pleasure to help.,very good thank you,good thank
709,thanks a lot,Anytime. That's what I'm here for.,thanks a lot,thanks lot
710,good thanks,It's my pleasure to help.,good thanks,good thanks
711,alright thanks,Anytime. That's what I'm here for.,alright thanks,alright thanks
712,thank you for your help,It's my pleasure to help.,thank you for your help,thank help
713,thanks so much,Anytime. That's what I'm here for.,thanks so much,thanks much
714,terrific thank you,It's my pleasure to help.,terrific thank you,terrific thank
715,thanks,Anytime. That's what I'm here for.,thanks,thanks
716,alright thank you,It's my pleasure to help.,alright thank you,alright thank
717,thanx,Anytime. That's what I'm here for.,thanx,thanx
718,thank you,It's my pleasure to help.,thank you,thank
719,nice thank you,Anytime. That's what I'm here for.,nice thank you,nice thank
720,you're so welcome,I appreciate it.,youre so welcome,youre welcome
721,that's my pleasure,Such nice manners you have.,thats my pleasure,thats pleasure
722,anytime,I appreciate it.,anytime,anytime
723,anything you want,Such nice manners you have.,anything you want,anything want
724,my pleasure,I appreciate it.,my pleasure,pleasure
725,welcome,Such nice manners you have.,welcome,welcome
726,welcome here,I appreciate it.,welcome here,welcome
727,sure welcome,Such nice manners you have.,sure welcome,sure welcome
728,you're welcome,I appreciate it.,youre welcome,youre welcome
729,great work,My pleasure.,great work,great work
730,good work,Glad I could help.,good work,good work
731,bravo,My pleasure.,bravo,bravo
732,way to go,Glad I could help.,way to go,way go
733,good job,My pleasure.,good job,good job
734,nice work,Glad I could help.,nice work,nice work
735,amazing work,My pleasure.,amazing work,amazing work
736,well done,Glad I could help.,well do,well
737,great job,My pleasure.,great job,great job
738,nevermind forget about it,Cancelled! Let me know what I should do next.,nevermind forget about it,nevermind forget
739,nothing just forget it,Cancelled. Waiting for more commands.,nothing just forget it,nothing forget
740,no just cancel,Cancelled! Just tell me what you'd like me to do next.,no just cancel,cancel
741,no cancel cancel,Cancelled. Go on with the commands!,no cancel cancel,cancel cancel
742,sorry cancel,Cancelled! Just tell me what you'd like me to do next.,sorry cancel,sorry cancel
743,disregard,Cancelled. Go on with the commands!,disregard,disregard
744,forget,Cancelled! Just tell me what you'd like me to do next.,forget,forget
745,i want to cancel,Cancelled. Go on with the commands!,i want to cancel,want cancel
746,cancel everything,Cancelled! Just tell me what you'd like me to do next.,cancel everything,cancel everything
747,annul,Cancelled. Go on with the commands!,annul,annul
748,cancel that one,Cancelled! Just tell me what you'd like me to do next.,cancel that one,cancel one
749,cancelled,Cancelled. Go on with the commands!,cancel,cancel
750,now cancel,Cancelled! Just tell me what you'd like me to do next.,now cancel,cancel
751,cancel all,Cancelled. Go on with the commands!,cancel all,cancel
752,cancel now,Cancelled! Just tell me what you'd like me to do next.,cancel now,cancel
753,forget about it,Cancelled. Go on with the commands!,forget about it,forget
754,skip it,Cancelled! Just tell me what you'd like me to do next.,skip it,skip
755,don't do that,Cancelled. Go on with the commands!,dont do that,dont
756,just forget it,Cancelled! Just tell me what you'd like me to do next.,just forget it,forget
757,skip skip skip,Cancelled. Go on with the commands!,skip skip skip,skip skip skip
758,just stop it,Cancelled! Just tell me what you'd like me to do next.,just stop it,stop
759,no cancel everything,Cancelled. Go on with the commands!,no cancel everything,cancel everything
760,forget that,Cancelled! Just tell me what you'd like me to do next.,forget that,forget
761,no just cancel it,Cancelled. Go on with the commands!,no just cancel it,cancel
762,cancel that cancel that,Cancelled! Just tell me what you'd like me to do next.,cancel that cancel that,cancel cancel
763,i said cancel,Cancelled. Go on with the commands!,i say cancel,say cancel
764,cancel it,Cancelled! Just tell me what you'd like me to do next.,cancel it,cancel
765,no stop,Cancelled. Go on with the commands!,no stop,stop
766,cancel all that,Cancelled! Just tell me what you'd like me to do next.,cancel all that,cancel
767,i said cancel it,Cancelled. Go on with the commands!,i say cancel it,say cancel
768,forget about that,Cancelled! Just tell me what you'd like me to do next.,forget about that,forget
769,abort,Cancelled. Go on with the commands!,abort,abort
770,i said forget it,Cancelled! Just tell me what you'd like me to do next.,i say forget it,say forget
771,nothing cancel,Cancelled. Go on with the commands!,nothing cancel,nothing cancel
772,no cancel this,Cancelled! Just tell me what you'd like me to do next.,no cancel this,cancel
773,I said cancel cancel,Cancelled. Go on with the commands!,i say cancel cancel,say cancel cancel
774,just cancel it,Cancelled! Just tell me what you'd like me to do next.,just cancel it,cancel
775,i want to cancel it,Cancelled. Go on with the commands!,i want to cancel it,want cancel
776,cancel the whole thing,Cancelled! Just tell me what you'd like me to do next.,cancel the whole thing,cancel whole thing
777,can you cancel that,Cancelled. Go on with the commands!,can you cancel that,cancel
778,can you cancel it,Cancelled! Just tell me what you'd like me to do next.,can you cancel it,cancel
779,just forget about it,Cancelled. Go on with the commands!,just forget about it,forget
780,forget this,Cancelled! Just tell me what you'd like me to do next.,forget this,forget
781,stop it,Cancelled. Go on with the commands!,stop it,stop
782,stop,Cancelled! Just tell me what you'd like me to do next.,stop,stop
783,just forget,Cancelled. Go on with the commands!,just forget,forget
784,discard,Cancelled! Just tell me what you'd like me to do next.,discard,discard
785,i would like to cancel,Cancelled. Go on with the commands!,i would like to cancel,would like cancel
786,cancel it,Cancelled! Just tell me what you'd like me to do next.,cancel it,cancel
787,disregard that,Cancelled. Go on with the commands!,disregard that,disregard
788,cancel my request,Cancelled! Just tell me what you'd like me to do next.,cancel my request,cancel request
789,so cancel,Cancelled. Go on with the commands!,so cancel,cancel
790,cancel request,Cancelled! Just tell me what you'd like me to do next.,cancel request,cancel request
791,cancel,Cancelled. Go on with the commands!,cancel,cancel
792,cancel all this,Cancelled! Just tell me what you'd like me to do next.,cancel all this,cancel
793,cancel this request,Cancelled. Go on with the commands!,cancel this request,cancel request
794,skip,Cancelled! Just tell me what you'd like me to do next.,skip,skip
795,forget it nevermind,Cancelled. Go on with the commands!,forget it nevermind,forget nevermind
796,dismiss,Cancelled! Just tell me what you'd like me to do next.,dismiss,dismiss
797,cancel it cancel it,Cancelled. Go on with the commands!,cancel it cancel it,cancel cancel
798,but can you cancel it,Cancelled! Just tell me what you'd like me to do next.,but can you cancel it,cancel
799,dismissed,Cancelled. Go on with the commands!,dismiss,dismiss
800,do nothing,Cancelled! Just tell me what you'd like me to do next.,do nothing,nothing
801,not at this time,Okay.,not at this time,time
802,don't,I see.,dont,dont
803,not exactly,I understand.,not exactly,exactly
804,absolutely no,Okay then.,absolutely no,absolutely
805,of course not,I understand.,of course not,course
806,never,Okay then.,never,never
807,no forget,I understand.,no forget,forget
808,not needed,Okay then.,not need,need
809,do not,I understand.,do not,
810,sorry no,Okay then.,sorry no,sorry
811,not interested,I understand.,not interested,interested
812,no don't,Okay then.,no dont,dont
813,nah,I understand.,nah,nah
814,no that's wrong,Okay then.,no thats wrong,thats wrong
815,not today,I understand.,not today,today
816,na,Okay then.,na,na
817,not that,I understand.,not that,
818,no sorry,Okay then.,no sorry,sorry
819,nooo,I understand.,nooo,nooo
820,I think no,Okay then.,i think no,think
821,let 's not,I understand.,let s not,let
822,I don't want that,Okay then.,i dont want that,dont want
823,no I don't,I understand.,no i dont,dont
824,no do not,Okay then.,no do not,
825,no incorrect,I understand.,no incorrect,incorrect
826,not really,Okay then.,not really,really
827,I don't want,I understand.,i dont want,dont want
828,nope sorry,Okay then.,nope sorry,nope sorry
829,no don't do that,I understand.,no dont do that,dont
830,no it's not,Okay then.,no it not,
831,absolutely not,I understand.,absolutely not,absolutely
832,no,Okay then.,no,
833,no never,I understand.,no never,never
834,not right now thanks,Okay then.,not right now thanks,right thanks
835,no thank you though,I understand.,no thank you though,thank though
836,no need thanks,Okay then.,no need thanks,need thanks
837,no just no,I understand.,no just no,
838,no need,Okay then.,no need,need
839,how about no,I understand.,how about no,
840,not this,Okay then.,not this,
841,I say no,I understand.,i say no,say
842,definitely not,Okay then.,definitely not,definitely
843,I'm not,I understand.,im not,im
844,don't,Okay then.,dont,dont
845,no but thank you,I understand.,no but thank you,thank
846,thanks but no thanks,Okay then.,thanks but no thanks,thanks thanks
847,I said no,I understand.,i say no,say
848,no thanks,Okay then.,no thanks,thanks
849,don t have a sense,I understand.,don t have a sense,sense
850,actually no,Okay then.,actually no,actually
851,I disagree,I understand.,i disagree,disagree
852,no thank you not right now,Okay then.,no thank you not right now,thank right
853,not really no,I understand.,not really no,really
854,I don't think so,Okay then.,i dont think so,dont think
855,I don't want to,I understand.,i dont want to,dont want
856,no thanks not right now,Okay then.,no thanks not right now,thanks right
857,no I would not,I understand.,no i would not,would
858,no leave it,Okay then.,no leave it,leave
859,disagree,I understand.,disagree,disagree
860,no way,Okay then.,no way,way
861,apparently not,I understand.,apparently not,apparently
862,not this time,Okay then.,not this time,time
863,no thank you very much,I understand.,no thank you very much,thank much
864,no tanks,Okay then.,no tank,tank
865,nope,I understand.,nope,nope
866,no actually,Okay then.,no actually,actually
867,no that's fine thank you,I understand.,no thats fine thank you,thats fine thank
868,no it isn't,Okay then.,no it isnt,isnt
869,yeah right,Great!,yeah right,yeah right
870,that is ok,Of course.,that be ok,ok
871,go for it,Sure.,go for it,go
872,okey,Indeed.,okey,okey
873,ya,Sure.,ya,ya
874,I agree,Indeed.,i agree,agree
875,ok yes,Sure.,ok yes,ok yes
876,okay that's fine,Indeed.,okay thats fine,okay thats fine
877,I guess,Sure.,i guess,guess
878,ye,Indeed.,ye,ye
879,ok sure,Sure.,ok sure,ok sure
880,obviously,Indeed.,obviously,obviously
881,yeah exactly,Sure.,yeah exactly,yeah exactly
882,yes it is,Indeed.,yes it be,yes
883,yeh,Sure.,yeh,yeh
884,ok,Indeed.,ok,ok
885,I do,Sure.,i do,
886,certainly,Indeed.,certainly,certainly
887,right,Sure.,right,right
888,sure thing,Indeed.,sure thing,sure thing
889,ok go ahead,Sure.,ok go ahead,ok go ahead
890,yes this is correct,Indeed.,yes this be correct,yes correct
891,yes correct,Sure.,yes correct,yes correct
892,sure is,Indeed.,sure be,sure
893,yeah go ahead,Sure.,yeah go ahead,yeah go ahead
894,why not,Indeed.,why not,
895,okie dokie,Sure.,okie dokie,okie dokie
896,yea,Indeed.,yea,yea
897,yes,Sure.,yes,yes
898,yeah that's right,Indeed.,yeah thats right,yeah thats right
899,yes indeed,Sure.,yes indeed,yes indeed
900,okay,Indeed.,okay,okay
901,absolutely,Sure.,absolutely,absolutely
902,of course,Indeed.,of course,course
903,yep,Sure.,yep,yep
904,okay sounds good,Indeed.,okay sound good,okay sound good
905,sure why not,Sure.,sure why not,sure
906,okay then,Indeed.,okay then,okay
907,yap,Sure.,yap,yap
908,ok thank you,Indeed.,ok thank you,ok thank
909,this is correct,Sure.,this be correct,correct
910,yup,Indeed.,yup,yup
911,yes sure,Sure.,yes sure,yes sure
912,looks good,Indeed.,look good,look good
913,yes definitely,Sure.,yes definitely,yes definitely
914,sure,Indeed.,sure,sure
915,go ahead,Sure.,go ahead,go ahead
916,all right,Indeed.,all right,right
917,yes thank you,Sure.,yes thank you,yes thank
918,yes I agree,Indeed.,yes i agree,yes agree
919,do it,Sure.,do it,
920,yes it is correct,Indeed.,yes it be correct,yes correct
921,confirmed,Sure.,confirm,confirm
922,affirmative,Indeed.,affirmative,affirmative
923,yes I would like to,Sure.,yes i would like to,yes would like
924,definitely,Indeed.,definitely,definitely
925,ok you can,Sure.,ok you can,ok
926,oh yes,Indeed.,oh yes,oh yes
927,yeah,Sure.,yeah,yeah
928,alrighty,Indeed.,alrighty,alrighty
929,that s okay,Sure.,that s okay,okay
930,yes you may,Indeed.,yes you may,yes may
931,yeah of course,Sure.,yeah of course,yeah course
932,I think so,Indeed.,i think so,think
933,of course why not,Sure.,of course why not,course
934,yeah I'm sure,Indeed.,yeah im sure,yeah im sure
935,yes of course,Sure.,yes of course,yes course
936,please do,Indeed.,please do,please
937,sounds good,Sure.,sound good,sound good
938,exactly,Indeed.,exactly,exactly
939,yes I do,Sure.,yes i do,yes
940,yes for sure,Indeed.,yes for sure,yes sure
941,oh wait,Okay. I'm here.,oh wait,oh wait
942,could you wait,I'll be waiting.,could you wait,could wait
943,don't rush,Okay. I'm here.,dont rush,dont rush
944,wait a second,I'll be waiting.,wait a second,wait second
945,wait hold on,Okay. I'm here.,wait hold on,wait hold
946,hold on,I'll be waiting.,hold on,hold
